路線,区間,本数,駅,状態
総武線快速,,90,錦糸町 新小岩 市川 西船橋 船橋 津田沼 稲毛 千葉,manual
総武線,総武本線(千葉〜佐倉),41,東千葉 都賀 四街道 物井 佐倉,manual
総武線,総武本線(佐倉〜成東),38,南酒々井 榎戸 八街 日向 成東,manual
総武線,総武本線(成東〜銚子),22,松尾 横芝 飯倉 八日市場 干潟 旭 飯岡 倉橋 猿田 松岸 銚子,manual
内房線,内房線(蘇我〜木更津),77,蘇我 浜野 八幡宿 五井 姉ヶ崎 長浦 袖ヶ浦 巌根 木更津,manual
内房線,内房線(木更津〜君津),80,木更津 君津,manual
内房線,内房線(君津〜上総湊),29,君津 青堀 大貫 佐貫町 上総湊,manual
内房線,内房線(上総湊〜館山),21,上総湊 竹岡 浜金谷 保田 安房勝山 岩井 富浦 那古船形 館山,manual
内房線,内房線(館山〜安房鴨川),17,館山 九重 千倉 千歳 南三原 和田浦 江見 太海 安房鴨川,manual
外房線,外房線(千葉〜大網),69,千葉 本千葉 蘇我 鎌取 誉田 土気 大網,manual
外房線,外房線(大網〜茂原),76,大網 永田 本納 新茂原 茂原,manual
外房線,外房線(茂原〜上総一ノ宮),65,茂原 八積 上総一ノ宮,manual
外房線,外房線(上総一ノ宮〜大原),37,上総一ノ宮 東浪見 太東 長者町 三門 大原,manual
外房線,外房線(大原〜勝浦),33,大原 浪花 御宿 勝浦,manual
外房線,外房線(勝浦〜安房鴨川),26,勝浦 鵜原 上総興津 行川アイランド 安房小湊 安房天津 安房鴨川,manual
成田線,成田線(我孫子支線),40,我孫子 東我孫子 湖北 新木 布佐 木下 小林 安食 下総松崎,manual
成田線,成田線(空港支線),60,成田空港 空港第2ビル,manual
成田線,成田線(佐倉〜松岸),30,佐倉 酒々井 成田 久住 滑河 下総神崎 大戸 佐原 香取 水郷 小見川 笹川 下総橘 下総豊里 椎柴 松岸,manual
京葉線,,130,舞浜 新浦安 市川塩浜 二俣新町 西船橋 南船橋 新習志野 幕張豊砂 海浜幕張 検見川浜 稲毛海岸 千葉みなと 蘇我,manual
常磐線各駅停車,,150,天王台 我孫子 北柏 柏 南柏 北小金 新松戸 馬橋 北松戸 松戸,manual
常磐線快速,,170,天王台 我孫子 柏 松戸,manual
武蔵野線,,110,西船橋 船橋法典 市川大野 東松戸 新八柱 新松戸 南流山,manual
東金線,,30,成東 求名 東金 福俵 大網,manual
鹿島線,,18,香取 十二橋,manual
久留里線,久留里線(木更津〜久留里),17,木更津 祇園 上総清川 東清川 横田 東横田 馬来田 下郡 小櫃 俵田 久留里,manual
久留里線,久留里線(久留里〜上総亀山),8,平山 上総松丘 上総亀山,manual
京成本線,,160,空港第2ビル 成田空港 京成成田 公津の杜 宗吾参道 京成酒々井 大佐倉 京成佐倉 京成臼井 ユーカリが丘 志津 勝田台 京成大和田 八千代台 実籾 京成大久保 京成津田沼 谷津 船橋競馬場 大神宮下 京成船橋 海神 京成西船 東中山 京成中山 鬼越 京成八幡 菅野 市川真間 国府台,manual
